Country.Name,Country.Code,Time,ed_attain_low_sec,gini_index,labor_adv_edu,edu_exp_public,gdp_per_capita,cancellazioni
Spain,ESP,2020,80.7694320678711,34.9,78.708,94.5676803588867,39327.8479269599,1849
Spain,ESP,2021,83.3149933359569,33.9,78.529,94.0092010498047,44251.6658222621,1723
Spain,ESP,2022,83.932488771269007,33.6,78.619,93.0252380371094,51398.9310403407,2047
Spain,ESP,2023,84.2945705682212,33.4,78.953,NA,55682.2402603093,3284
Netherlands,NLD,2013,89.4114608764648,28.1,80.533,87.8246383666992,49622.0519614799,364
Netherlands,NLD,2014,89.3653717041016,28.6,80.208,87.9478530883789,49751.3092860822,430
Netherlands,NLD,2015,89.4881210327148,28.2,79.58,88.6125793457031,50956.6930942185,485
Netherlands,NLD,2016,89.7140426635742,28.2,79.223,89.1797180175781,53162.2791598028,503
Netherlands,NLD,2017,91.2555195402836,28.5,79.11,89.0810165405273,56037.567993606,524
Netherlands,NLD,2018,90.3683166503906,28.1,79.439,89.3816070556641,58819.2609142584,632
Netherlands,NLD,2019,91.9366758031883,29.2,78.97,89.2320938110352,62345.2538465433,1195
Netherlands,NLD,2020,91.2177810668945,26,78.973,88.9214401245117,62596.6302027524,1218
Netherlands,NLD,2021,90.9582104013994,25.7,79.378,88.4480667114258,68573.5648786446,1182
Netherlands,NLD,2022,91.1451951874545,NA,80.316,88.6285400390625,78630.3599072098,1756
Netherlands,NLD,2023,90.2764267356421,NA,79.885,NA,81728.6904629268,2030
Germany,DEU,2013,96.6717910766602,31.4,74.112,92.6011123657227,45889.0173022052,2026
Germany,DEU,2014,96.7991485595703,30.8,74.058,92.9386215209961,47938.7968210418,2559
Germany,DEU,2015,96.7161178588867,31.4,73.63,93.2091369628906,48545.400721962,3453
Germany,DEU,2016,96.5136413574219,31.3,74.031,93.3091735839844,51569.9016841199,3751
Germany,DEU,2017,96.351735105875,31.3,74.072,93.0598220825195,54110.2536648812,3704
Germany,DEU,2018,96.3322525024414,31.9,73.74,92.4847106933594,56273.0405627017,3832
Germany,DEU,2019,96.3561625677397,32.2,74.372,91.5839385986328,59270.7276496985,3093
Germany,DEU,2020,95.6803817749023,32.5,72.689,90.5216827392578,58685.872699771,3672
Germany,DEU,2022,94.7800091310913,33.7,72.721,90.2457809448242,69048.9884036885,3934
Germany,DEU,2023,94.7810223403315,NA,73.015,NA,71684.0311875583,4417
France,FRA,2013,81.5009994506836,32.5,76.164,NA,39583.3520435045,1658
France,FRA,2014,82.6331634521484,32.3,77.381,NA,40218.1258637776,1624
France,FRA,2015,83.2034301757812,32.7,77.515,NA,40905.1767750994,2177
France,FRA,2016,83.6858291625977,31.9,77.289,NA,42880.2351355431,2040
France,FRA,2017,84.2147979736328,31.6,76.602,92.3666305541992,44469.1458856805,2343
France,FRA,2018,84.9328999371132,32.4,76.548,92.1541519165039,46381.0590629457,2695
